Newspaper,Heading,Date,Time,URL,Cluster,cluster_similarity_value
Time of India,Virat Kohli & Co hit the gym ahead of South Africa clash,2019-06-02, 19:32:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-2019-virat-kohli-co-hit-the-gym-ahead-of-south-africa-clash/articleshow/69622176.cms,2,0.22
Indian Express,"LiveSouth Africa vs Bangladesh Live Cricket Score Online, World Cup 2019 Live Score: De Kock run out after good start",2019-06-02,20:36:12:00,https://indianexpress.com/article/sports/cricket-world-cup/south-africa-vs-bangladesh-live-cricket-score-sa-vs-ban-5761080/,2,0.23
Time of India,World Cup Live Blog: South Africa vs Bangladesh,2019-06-02, 19:59:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/live-blog/live-cricket-score-south-africa-vs-bangladesh-icc-world-cup-2019/liveblog/69619224.cms,2,0.36
Time of India,tennisRoger Federer eases into 12th French Open quarter-final,2019-06-02, 19:39:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/roger-federer-eases-into-12th-french-open-quarter-final/articleshow/69622178.cms,3,0.9
Time of India,New Zealand pacers bowl out Sri Lankans for 136 to set up big victory,2019-06-02, 10:00:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-2019-new-zealand-pacers-bowl-out-sri-lankans-for-136-to-set-up-big-victory/articleshow/69617134.cms,4,0.2
Time of India,"Champions League Final: Liverpool, Tottenham Hotspur set for showdown in Madrid",2019-06-01, 11:22:00,https://timesofindia.indiatimes.com/sports/football/champions-league/champions-league-final-liverpool-tottenham-hotspur-set-for-showdown-in-madrid/articleshow/69607605.cms,4,0.17
India Today,      Former first-class players request BCCI to revise their pension ,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket/story/bcci-asked-to-raise-pension-for-sanjay-jagdale-ashu-dani-vinay-limba-first-class-cricket-1539422-2019-05-31,4,0.15
Time of India,"I'm not a medium pacer, I'm a fast bowler, says Andre Russell",2019-06-02, 11:09:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-2019-im-not-a-medium-pacer-im-a-fast-bowler-says-andre-russell/articleshow/69617718.cms,4,0.17
India Today," Sourav Ganguly changed India into a ruthless ODI team, says Nasser Hussain",2019-06-02,20:40,https://www.indiatoday.in/sports/story/salaam-cricket-2019-nasser-hussain-michael-clarke-sourav-ganguly-virat-kohli-india-1540909-2019-06-02,4,0.16
Indian Express,"Neymar accused of rape, father says player set up",2019-06-02,7:09:10 pm,https://indianexpress.com/article/sports/football/brazilian-soccer-neymar-accused-of-rape-father-says-player-set-up-5760800/,4,0.32
India Today," IPL 2019: After historic triumph, Rohit Sharma chills out with family",2019-06-02,20:40,https://www.indiatoday.in/sports/story/ipl-2019-rohit-sharma-family-maldives-ritika-sajdeh-samiara-1526933-2019-05-16,5,0.7
India Today,      Rohit Sharma and Shikhar Dhawan reveal the funniest sledges by Indian players ,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket/story/cricket-india-rohit-sharma-shikhar-dhawan-breakfast-with-champions-ajinkya-rahane-dhawal-kulkarni-1540125-2019-06-01,5,0.39
Time of India,I play with the cards in front of me: India's hockey coach Graham Reid,2019-05-29, 17:15:00,https://timesofindia.indiatimes.com/sports/hockey/top-stories/i-play-with-the-cards-in-front-of-me-indias-hockey-coach-graham-reid/articleshow/69561957.cms,6,0.33
Time of India,"Jadhav does full-fledged nets, no word on playing SA game yet",2019-06-02, 20:04:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/2019-cricket-world-cup-kedar-jadhav-does-full-fledged-nets-no-word-on-playing-sa-game-yet/articleshow/69622681.cms,6,0.67
Time of India,Rohan Bopanna bows out of French Open men's doubles,2019-06-02, 18:08:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/rohan-bopanna-bows-out-of-french-open-mens-doubles/articleshow/69621460.cms,7,0.63
Indian Express,French Open 2019: Rohan Bopanna bows out in third round,2019-06-02,18:55:03:00,https://indianexpress.com/article/sports/tennis/french-open-2019-rohan-bopanna-bows-out-of-french-open-doubles/,7,0.49
Time of India,India's men and women teams to don new kit at FIH Series Finals,2019-06-01, 19:07:00,https://timesofindia.indiatimes.com/sports/hockey/top-stories/hockey-indias-men-and-women-teams-to-don-new-kit-at-fih-series-finals/articleshow/69611814.cms,7,0.28
Time of India,No one in team takes my bowling seriously but I do: Kohli,2019-06-02, 20:24:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/no-one-in-team-takes-my-bowling-seriously-but-i-do-jokes-virat-kohli/articleshow/69622840.cms,8,0.29
Time of India,Kohli injures thumb ahead of India's WC opener,2019-06-02, 18:23:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/virat-kohli-hurts-thumb-ahead-of-indias-world-cup-opener/articleshow/69618652.cms,8,0.25
Time of India,I'm fine with coach's view that no one can take his place for granted: Chhetri,2019-06-01, 21:26:00,https://timesofindia.indiatimes.com/sports/football/top-stories/im-fine-with-coachs-view-that-no-one-can-take-his-place-for-granted-sunil-chhetri/articleshow/69613822.cms,8,0.17
India Today, Virat Kohli’s hunger to perform great positive for India at World Cup 2019: Misbah-ul-Haq,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/virat-kohli-hunger-to-perform-great-positive-for-india-at-world-cup-2019-misbah-ul-haq-1540928-2019-06-02,8,0.22
India Today," IPL 2019: Shane Watson touched by CSK fans' support, says keen on coming back next year",2019-06-02,20:40,https://www.indiatoday.in/sports/story/shane-watson-knee-injury-chennai-super-kings-ipl-2019-final-fans-support-instagram-video-1526380-2019-05-16,9,1.0
Time of India,"Salah, Origi strike as Liverpool beat Tottenham to clinch Champions League title",2019-06-02, 02:55:00,https://timesofindia.indiatimes.com/sports/football/champions-league/top-stories/mohamed-salah-divock-origi-strike-as-liverpool-beat-tottenham-hotspur-to-clinch-champions-league-title/articleshow/69615886.cms,10,0.19
Time of India,Indian wrestler Kavita Devi to compete in Mae Young Classic tourney,2018-07-21, 13:26:00,https://timesofindia.indiatimes.com/sports/wwe/top-stories/indian-wrestler-kavita-devi-to-compete-in-mae-young-classic-tourney/articleshow/65079959.cms,10,0.18
Time of India,Neymar denies allegations of raping woman in Paris,2019-06-02, 14:42:00,https://timesofindia.indiatimes.com/sports/football/top-stories/neymar-denies-allegations-of-raping-woman-in-paris/articleshow/69617557.cms,10,0.38
Time of India,Tottenham to make late call on Harry Kane for Champions League final,2019-06-01, 08:31:00,https://timesofindia.indiatimes.com/sports/football/champions-league/top-stories/tottenham-to-make-late-call-on-harry-kane-for-champions-league-final/articleshow/69606323.cms,10,0.2
Time of India,Martic into first Grand Slam quarter-final in Paris,2019-06-02, 17:12:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/martic-into-first-grand-slam-quarter-final-in-paris/articleshow/69620772.cms,10,0.21
India Today," India will be under pressure, Pakistan have nothing to lose in World Cup: Harbhajan Singh",2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/india-will-be-under-pressure-pakistan-have-nothing-to-lose-in-world-cup-harbhajan-1540854-2019-06-02,11,0.2
India Today, No regrets about 2007 World T20 final scoop shot: Misbah-ul-Haq,2019-06-02,20:40,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-no-regrets-about-2007-world-t20-final-scoop-shot-misbah-1540957-2019-06-02,11,0.13
Time of India,Ruiz stuns Joshua for world heavyweight title,2019-06-02, 10:26:00,https://timesofindia.indiatimes.com/sports/boxing/andy-ruiz-stuns-anthony-joshua-for-world-heavyweight-title/articleshow/69616953.cms,11,0.16
Indian Express,"World Cup 2019: Shoaib Akhtar, Kevin Pietersen troll each other before Pakistan play England",2019-06-02,18:38:27:00,https://indianexpress.com/article/sports/cricket-world-cup/shoaib-akhtar-kevin-pietersen-troll-each-other-before-pakistan-vs-england-match-5761301/,11,0.18
Indian Express,Igor Stimac names six newcomers as India leave for King’s Cup,2019-06-02,19:13:31:00,https://indianexpress.com/article/sports/football/igor-stimac-names-six-newcomers-as-india-leave-for-kings-cup/,11,0.18
Time of India,World Cup 2019: Hashim Amla could be fit for India clash,2019-06-02, 16:36:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/world-cup-2019-hashim-amla-could-be-fit-for-india-clash/articleshow/69620476.cms,11,0.33
Time of India,India must work to become a force in Asian football again: Stimac,2019-06-01, 19:02:00,https://timesofindia.indiatimes.com/sports/football/top-stories/india-must-work-to-become-a-force-in-asian-football-again-stimac/articleshow/69612214.cms,11,0.16
Time of India,World Cup format gives us lots of chances to enter semis: Jeevan Mendis,2019-06-02, 19:43:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/world-cup-format-gives-us-lots-of-chances-to-get-five-wins-to-enter-semis-jeevan-mendis/articleshow/69622388.cms,12,1.0
Time of India,Vondrousova humiliates Sevastova to reach French Open last eight,2019-06-02, 17:32:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/vondrousova-humiliates-sevastova-to-reach-french-open-last-eight/articleshow/69620327.cms,13,1.0
Indian Express,"LiveWorld Cup, SA vs BAN: De Kock run out after good start",2019-06-02,8:36:12 pm,https://indianexpress.com/article/sports/cricket-world-cup/south-africa-vs-bangladesh-live-cricket-score-sa-vs-ban-5761080/,14,0.42
Time of India,"SA v BAN Live: Markram, Faf rebuild SA chase",2019-06-02, 20:26:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-cricket-world-cup-south-africa-vs-bangladesh-live-cricket-score-updates-2019-cricket-world-cup-live-score-online/articleshow/69618997.cms,14,0.67
Time of India,Converting opportunities will be key in FIH Series Finals: Manpreet Singh,2019-05-28, 20:13:00,https://timesofindia.indiatimes.com/sports/hockey/top-stories/converting-opportunities-will-be-key-in-fih-series-finals-manpreet-singh/articleshow/69546914.cms,15,0.15
Time of India,Philadelphia Eagles beat New England Patriots to win first Super Bowl title,2018-02-05, 09:49:00,https://timesofindia.indiatimes.com/sports/nfl/news/philadelphia-eagles-win-super-bowl-lii-title/articleshow/62784711.cms,15,0.17
Time of India,"When, where and how to watch Super Bowl 2018 Live Streaming in India",2018-02-05, 05:07:00,https://timesofindia.indiatimes.com/sports/nfl/news/when-and-where-to-watch-super-bowl-lii-live-streaming-in-india/articleshow/62775555.cms,15,0.22
Time of India,Super Bowl History: Check list of winners since 1967,2018-02-03, 10:00:00,https://timesofindia.indiatimes.com/sports/nfl/news/super-bowl-history-check-list-of-winners-since-1967/articleshow/62759843.cms,15,0.18
