Heading,Date,Time,URL
Igor Stimac right man to lead Indian football team: Sandesh Jhingan,2019-05-15,13:12:35,https://timesofindia.indiatimes.com/sports/football/top-stories/igor-stimac-right-man-to-lead-indian-football-team-sandesh-jhingan/articleshow/69344913.cms
Stimac's experience will benefit Indian football team: Chhetri,2019-05-15,13:10:26,https://timesofindia.indiatimes.com/sports/football/top-stories/stimacs-experience-will-benefit-indian-football-team-chhetri/articleshow/69344879.cms
AIFF appoints Igor Stimac as Indian football team coach,2019-05-15,07:29:26,https://timesofindia.indiatimes.com/sports/football/top-stories/aiff-appoints-igor-stimac-as-indian-football-team-coach/articleshow/69339081.cms
Tiger Shroff approached for footballer Bhaichung Bhutia's biopic?,2019-05-15,07:22:11,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/tiger-shroff-approached-for-footballer-bhaichung-bhutias-biopic/articleshow/69339068.cms
AIFF appoints Igor Stimac as Indian football team coach,2019-05-15,07:15:27,https://timesofindia.indiatimes.com/sports/football/top-stories/aiff-appoints-igor-stimac-as-indian-football-team-coach/articleshow/69338930.cms
Pep Guardiola beats Jurgen Klopp to manager of the year award,2019-05-15,04:51:55,https://timesofindia.indiatimes.com/sports/football/top-stories/pep-guardiola-beats-jurgen-klopp-to-manager-of-the-year-award/articleshow/69336333.cms
Antoine Griezmann to leave Atletico Madrid at end of season,2019-05-15,03:24:27,https://timesofindia.indiatimes.com/sports/football/top-stories/antoine-griezmann-to-leave-atletico-madrid-at-end-of-season/articleshow/69335349.cms
Aston Villa beat West Brom on penalties to reach Championship playoff final,2019-05-15,02:46:25,https://timesofindia.indiatimes.com/sports/football/top-stories/aston-villa-beat-west-brom-on-penalties-to-reach-championship-playoff-final/articleshow/69334840.cms
Ahmedabad likely to host U-17 women's WC football matches,2019-05-15,02:36:53,https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-likely-to-host-u-17-womens-wc-football-matches/articleshow/69334656.cms
India football team's performance can only go up: Udanta Singh,2019-05-14,11:40:35,https://timesofindia.indiatimes.com/sports/football/top-stories/india-football-teams-performance-can-only-go-up-udanta-singh/articleshow/69326358.cms
Four Indian students get La Liga football schools scholarship,2019-05-14,11:20:37,https://timesofindia.indiatimes.com/sports/football/top-stories/four-indian-students-get-la-liga-football-schools-scholarship/articleshow/69325986.cms
U-13 football team wins in Gujarat zone,2019-05-14,06:01:59,https://timesofindia.indiatimes.com/city/vadodara/u-13-football-team-wins-in-gujarat-zone/articleshow/69314975.cms
