Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Heres the new poster of Frozen 2 are you excited for one more adventure,hollywood,2019-06-10, 21:25:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/heres-the-new-poster-of-frozen-2-are-you-excited-for-one-more-adventure/articleshow/69729502.cms,0,0.08
Hindiustan Times, No Joker Wonder Woman at Comic Con but Warner Bros will debut It Chapter 2 footage,hollywood,2019-06-06,15:45:00,https://www.hindustantimes.com/hollywood/no-joker-wonder-woman-at-comic-con-but-warner-bros-will-debut-it-chapter-2-footage/story-LDkPq3R3pT1DD87DxeYiEM.html,0,0.04
India Times, Believe It Or Not Jameela Jamils Body Positive Cover Is Unedited Shot On A Smartphone,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/believe-it-or-not-jameela-jamil-s-body-positive-cover-is-unedited-shot-on-a-smartphone-366421.html,0,0.04
Hindiustan Times, Lisa Ray recalls auditioning for Quantum of Solace with Daniel Craig says Gal Gadot was also in contention,hollywood,2019-05-24,15:46:00,https://www.hindustantimes.com/hollywood/lisa-ray-recalls-auditioning-for-quantum-of-solace-with-daniel-craig-says-gal-gadot-was-also-in-contention/story-yK8uDBHcsfkIlHBd58chbJ.html,0,0.05
Time of India, Danny Boyles Yesterday to arrive in India on July 12,hollywood,2019-06-10, 15:38:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/danny-boyles-yesterday-to-arrive-in-india-on-july-12/articleshow/69724445.cms,0,0.04
Hindiustan Times, I stole a menu from an Indian restaurant for words that I use in Minion talk Pierre Coffin,hollywood,2018-07-31,17:26:00,https://www.hindustantimes.com/hollywood/i-stole-a-menu-from-an-indian-restaurant-for-words-that-i-use-in-minion-talk-pierre-coffin/story-7GjhCRLS5Z3Pe8p2D6UZTM.html,0,0.05
Hindiustan Times, The Extraordinary Journey Of The Fakir trailer Dhanush embarks on a crazy journey to Paris via a twisted route,hollywood,2019-06-04,17:35:00,https://www.hindustantimes.com/entertainment/the-extraordinary-journey-of-the-fakir-trailer-dhanush-embarks-on-a-crazy-journey-to-paris-via-a-twisted-route/story-nDSeC5oPs5DTrHh2dKSRVJ.html,0,0.05
Hindiustan Times, John Cena joins Fast Furious 9 cast calls it ‘ an incredible honour ’,hollywood,2019-06-08,19:56:00,https://www.hindustantimes.com/hollywood/john-cena-joins-fast-furious-9-cast-calls-it-an-incredible-honour/story-DJKw4bLQMaqtPBR8tBllHP.html,0,0.04
Hindiustan Times, Taiwanese film at Cannes exposes actress abuse actor Wu Ke xi says ‘ I was slapped 30 times for questioning the director ’,hollywood,2019-05-21,21:06:00,https://www.hindustantimes.com/world-cinema/taiwanese-film-at-cannes-exposes-actress-abuse-actor-wu-ke-xi-says-i-was-slapped-30-times-for-questioning-the-director/story-q23kiiqZBAwwyP0hNDDG8M.html,0,0.05
Hindiustan Times, Miley Cyrus groped by fan reached out to husband Liam Hemsworth for help,hollywood,2019-06-04,12:00:00,https://www.hindustantimes.com/hollywood/miley-cyrus-groped-by-fan-reached-out-to-husband-liam-hemsworth-for-help/story-hCQQKrzCUZ94WHolGkavfI.html,0,0.04
Indian Express, Nick Jonas is missing Priyanka Chopra,hollywood,2019-06-09,16:02:06,https://indianexpress.com/article/entertainment/bollywood/nick-jonas-is-missing-priyanka-chopra-5771771/,0,0.04
Hindiustan Times, Ashton Kutcher recounts learning of female friend ’ s murder says ‘ I was freaking out my fingerprints were on the door ’,hollywood,2019-05-30,16:17:00,https://www.hindustantimes.com/hollywood/ashton-kutcher-recounts-learning-of-female-friend-s-murder-says-i-was-freaking-out-my-fingerprints-were-on-the-door/story-j3Y6FqA55KYnV3AtbpMiqO.html,0,0.04
Hindiustan Times, Christopher Nolan to shoot Tenet in Mumbai this September features Robert Pattinson Dimple Kapadia,hollywood,2019-05-30,12:58:00,https://www.hindustantimes.com/hollywood/christopher-nolan-to-shoot-tenet-in-mumbai-this-september-features-robert-pattinson-dimple-kapadia/story-q7tPhv89tEkROcTfwaugvK.html,0,0.04
Indian Express, Sushmita Sen preps for her return It ’ s never done until we say it is done,hollywood,2019-06-09,15:52:06,https://indianexpress.com/article/entertainment/bollywood/sushmita-sen-preps-for-her-bollywood-return-5771772/,0,0.05
Hindiustan Times, Ford v Ferrari trailer Matt Damon Christian Bale bring one of the greatest racing rivalries to life,hollywood,2019-06-03,10:50:00,https://www.hindustantimes.com/hollywood/ford-v-ferrari-trailer-matt-damon-christian-bale-bring-one-of-the-greatest-racing-rivalries-to-life/story-PVt0CPRIOrYcZnJYaysLOK.html,0,0.04
India Today, Jennifer Aniston I am not ashamed of posing nude at 50 Nobody should beRecently Jennifer Aniston opened up about posing topless for a magazine photoshoot the actress said that she was not ashamed of it and that nobody should feel so either,hollywood,2019-06-11,00:56:00,https://www.indiatoday.in/movies/hollywood/story/jennifer-aniston-i-am-not-ashamed-of-posing-nude-at-50-nobody-should-be-1543656-2019-06-06,0,0.05
Hindiustan Times, A weekend with Ingmar Bergman,hollywood,2018-03-23,15:43:00,https://www.hindustantimes.com/world-cinema/a-weekend-with-ingmar-bergman/story-v0aaw6LWnu0ZKWF3JZKpBK.html,0,0.04
Hindiustan Times, Berlinale and the India connect,hollywood,2018-02-26,14:44:00,https://www.hindustantimes.com/world-cinema/berlinale-and-the-india-connect/story-y4eXq3VCz22szXKimdttOM.html,0,0.04
Indian Express, Female audience are getting tired of being portrayed as stupid and dumb Taapsee Pannu,hollywood,2019-06-10,14:39:57,https://indianexpress.com/article/entertainment/bollywood/taapsee-pannu-game-over-film-5773203/,0,0.05
India Times, We Love You 3000 These Stories Prove We Love To Love Robert Downey Jr,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/we-love-you-3000-these-stories-prove-we-love-to-love-robert-downey-jr-367022.html,0,0.04
Indian Express, Deepika Padukone joins Ranveer Singh in 83,hollywood,2019-06-10,15:31:43,https://indianexpress.com/article/entertainment/bollywood/deepika-padukone-joins-ranveer-singh-in-83-5773305/,0,0.05
