Newspaper,Heading,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times,From street-side drug addicts to trained artists ,2019-05-30,17:29:00,https://www.hindustantimes.com/more-lifestyle/from-street-side-drug-addicts-to-trained-artists/story-lHopPyuJtSxMWhrLJ5pfsO.html,2,0.09
Hindiustan Times,Seriously Cyrus: Is the salad worth the forbidden fruit?,2019-05-28,17:44:00,https://www.hindustantimes.com/sex-and-relationships/seriously-cyrus-is-the-salad-worth-the-forbidden-fruit/story-4Bbvr6YyX5UbO3I2PRaJ1M.html,2,0.09
Indian Express,‘We need diversity behind the camera as well’: Nisha Ganatra,2019-05-31,12:00:33 am,https://indianexpress.com/article/lifestyle/art-and-culture/nisha-ganatra-the-mindy-project-late-night-amazon-studios-5757293/,2,0.19
Indian Express,World No Tobacco Day 2019: Why smoking is dangerous for pregnant women,2019-05-31,9:30:27 am,https://indianexpress.com/article/lifestyle/health/world-no-tobacco-day-2019-smoking-pregnant-women-5755973/,3,0.22
Indian Express,World No Tobacco Day 2019: ‘Smokeless tobacco is as dangerous as smoking a cigarette’,2019-05-31,10:30:56 am,https://indianexpress.com/article/lifestyle/health/world-no-tobacco-day-2019-smokeless-tobacco-is-hazardous-to-health-no-matter-the-form-5755576/,3,0.27
Indian Express,World No Tobacco Day 2019: How smokeless tobacco increases the risk of oral cancer,2019-05-31,6:30:27 am,https://indianexpress.com/article/lifestyle/health/world-no-tobacco-day-2019-smokeless-tobacco-and-how-it-increases-the-risk-of-oral-cancer-5756056/,3,0.25
Indian Express,World No Tobacco Day 2019: Seven ways to avoid the urge to smoke in the morning,2019-05-31,8:30:33 am,https://indianexpress.com/article/lifestyle/health/world-no-tobacco-day-2019-ways-to-avoid-urge-to-smoke-in-the-morning-5754196/,3,0.41
India Today, Janhvi Kapoor teaches how to do gym fashion right in tank top and mini shorts. See pics,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/photo/janhvi-kapoor-teaches-how-to-do-gym-fashion-right-in-tank-top-and-mini-shorts-see-pics-1538232-2019-05-30,4,0.12
India Today,  Let Kangana Ranaut in all-white attire teach you how to beat the Delhi heat. See pics,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/photo/-let-kangana-ranaut-in-all-white-attire-teach-you-how-to-beat-the-delhi-heat-see-pics-1538271-2019-05-30,4,0.12
Hindiustan Times,Summer special: For the love of lychee,2019-05-30,15:29:00,https://www.hindustantimes.com/more-lifestyle/summer-special-for-the-love-of-lychee/story-OcoZwsZbOsiEj0rT3d0OVP.html,4,0.12
Indian Express,Any Dream Will Do,2019-05-31,12:20:29 am,https://indianexpress.com/article/lifestyle/art-and-culture/any-dream-will-do-sameer-kulavoor-sudhir-patwardhan-ritesh-uttamchandani-5757314/,4,0.12
India Today, Katrina Kaif smiles for the paps in thigh-slit red dress during Bharat promotions ,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/photo/katrina-kaif-smiles-for-the-paps-in-thigh-slit-red-dress-during-bharat-promotions-1537776-2019-05-29,4,0.11
India Today, Shibani Dandekar trolled for copying Deepika Padukone's Cannes 2019 look. Her savage reply is epic,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/fashion/story/shibani-dandekar-trolled-for-copying-deepika-padukone-s-cannes-2019-look-her-savage-reply-is-epic-1534606-2019-05-25,4,0.12
India Today, Ananya Panday looks like a summer dream in floral mini dress for day out. See pics,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/photo/ananya-panday-looks-like-a-summer-dream-in-floral-mini-dress-for-day-out-see-pics-1538506-2019-05-30,4,0.15
India Today, Sara Ali Khan goes boho chic in floral print summer dress on lunch date. See pics,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/photo/sara-ali-khan-goes-boho-chic-in-floral-print-summer-dress-on-lunch-date-see-pics-1537500-2019-05-29,5,0.18
India Today, Hina Khan on flak for her Cannes 2019 debut: I felt bad. It was not necessary,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/fashion/story/hina-khan-on-flak-for-her-cannes-2019-debut-i-felt-bad-it-was-not-necessary-1534367-2019-05-25,5,0.15
Hindiustan Times,Identity quest: An art fest that goes beyond the canvas,2019-05-29,13:20:00,https://www.hindustantimes.com/art-and-culture/identity-quest-an-art-fest-that-goes-beyond-the-canvas/story-IpYXrRjkyFB1AZu12UjEwM.html,5,0.15
India Today, Chitrangada Singh takes casual fashion to the next level in chic top and pants. See pics,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/photo/chitrangada-singh-takes-casual-fashion-to-the-next-level-in-chic-top-and-pants-see-pics-1537746-2019-05-29,5,0.15
India Today, Kareena Kapoor Khan is a glam goddess in plunging neckline power suit. See pics ,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/photo/kareena-kapoor-khan-is-a-glam-goddess-in-plunging-neckline-power-suit-see-pics-1538520-2019-05-30,5,0.15
India Today, PM Modi swearing-in update: Mukesh Ambani with wife Nita and son Anant leave for Delhi. See pics,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/photo/pm-modi-swearing-in-update-mukesh-ambani-with-wife-nita-and-son-anant-leave-for-delhi-see-pics-1538441-2019-05-30,6,0.33
Indian Express,PM Modi takes oath in white kurta-pyjama and grey Nehru jacket,2019-05-30,8:25:59 pm,https://indianexpress.com/article/lifestyle/fashion/prime-minister-narendra-modi-takes-oath-at-rashtrapati-bhavan-in-white-kurta-pyjama-nehru-jacket-5757031/,6,0.67
Hindiustan Times,Travel: The Serbian melting pot,2019-05-26,07:52:00,https://www.hindustantimes.com/brunch/travel-the-serbian-melting-pot/story-oPb3RlYE9eRy7OInCRLJbO.html,7,1.0
India Today, Tamannaah tries Ranveer Singh fashion in athleisure at the airport but fails miserably. See pics,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/photo/tamannaah-tries-ranveer-singh-fashion-in-athleisure-at-the-airport-but-fails-miserably-see-pics-1537643-2019-05-29,8,0.21
Hindiustan Times,"Priyanka Chopra, Sonam Kapoor, Dua Lipa show you how to style tiny bags",2019-05-30,11:23:00,https://www.hindustantimes.com/fashion-and-trends/priyanka-chopra-sonam-kapoor-dua-lipa-show-you-how-to-style-tiny-bags/story-YOHdh7SZXWMdiwjRnHic1K.html,8,0.2
