Newspaper,Heading,Date,Time,URL,Cluster,cluster_similarity_value
India Today, Gym buddies Malaika Arora and Janhvi Kapoor slay tough Pilates routine in new workout video,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/gym-buddies-malaika-arora-and-janhvi-kapoor-slay-tough-pilates-routine-in-new-workout-video-1539656-2019-05-31,0,0.07
Hindiustan Times,Spectator by Seema Goswami: Page-turners,2019-06-01,23:11:00,https://www.hindustantimes.com/brunch/spectator-page-turners/story-8QrbhrLGiy9mNBJbOcBxuL.html,0,0.06
Hindiustan Times,ATPAR empowers the differently-abled with the launch of NEDAR,2019-06-01,17:43:00,https://www.hindustantimes.com/more-lifestyle/atpar-empowers-the-differently-abled-with-the-launch-of-nedar/story-AurETgCG5gH790V8SYO8vK.html,0,0.06
Hindiustan Times,"To have, or not to have, coconut oil...",2019-06-02,12:22:00,https://www.hindustantimes.com/wellness/to-have-or-not-to-have-coconut-oil/story-WBXCMMamEnhMbXdC1447yL.html,0,0.06
Hindiustan Times,Tips to help you with pre-wedding jitters,2019-06-01,17:30:00,https://www.hindustantimes.com/sex-and-relationships/tips-to-help-you-with-pre-wedding-jitters/story-sum5aVbN0RO4UCPyPI18XP.html,0,0.06
Indian Express,"Buckwheat Canapes, for that mindful snacking",2019-06-02,13:42:46:00,https://indianexpress.com/article/lifestyle/food-wine/recipe-of-buckwheat-canopes-for-that-mindful-snacking-5760836/,0,0.06
Indian Express,Ravi Jadhav: From a mill worker to a National Award winner,2019-06-02,10:48:22:00,https://indianexpress.com/article/lifestyle/art-and-culture/once-upon-a-film-ravi-jadhav-rampaat-sairat-5760563/,0,0.06
Hindiustan Times,Core training and the six pack mania,2019-06-01,19:06:00,https://www.hindustantimes.com/brunch/core-training-and-the-six-pack-mania/story-Hl2ulzmS2ajb2J0mzYMMYI.html,0,0.06
Indian Express,Simply South,2019-06-02,00:10:10:00,https://indianexpress.com/article/lifestyle/simply-south-indian-food-sector-47-market-5760554/,0,0.06
India Today, Priyanka Chopra denies meeting BFF Meghan Markle and baby Archie in London: This is untrue,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/priyanka-chopra-denies-meeting-bff-meghan-markle-and-baby-archie-in-london-this-is-untrue-1540086-2019-06-01,0,0.06
India Today, Joe Jonas on marrying Sophie Turner: Internet told my parents about wedding before us,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/joe-jonas-on-marrying-sophie-turner-internet-told-my-parents-about-wedding-before-us-1539657-2019-05-31,0,0.06
Indian Express,A trifle of great importance,2019-06-02,11:01:47:00,https://indianexpress.com/article/lifestyle/food-wine/trifle-great-importance-5760312/,0,0.06
Indian Express,Eid ul Fitr 2019: Know the Last day of Ramadan,2019-06-02,09:11:11:00,https://indianexpress.com/article/lifestyle/life-style/eid-ul-fitr-2019-know-last-day-ramadan-5760024/,0,0.06
Hindiustan Times,Sunday Drive by Hormazd Sorabjee: The silence of the Mercedes-Benz EQC,2019-06-02,00:08:00,https://www.hindustantimes.com/brunch/sunday-drive-by-hormazd-sorabjee-the-silence-of-the-mercedes-benz-eqc/story-IaniEQfF4qaHccHdeIFntM.html,1,1.0
Hindiustan Times,The chef side story: Why Dharshan Munidasa is the greatest seafood chef in Asia,2019-06-01,23:33:00,https://www.hindustantimes.com/brunch/the-chef-side-story-why-dharshan-munidasa-is-the-greatest-seafood-chef-in-india/story-flQMesGuljitoYZlQk795O.html,2,0.33
Hindiustan Times,HT Brunch Cover Story: Mixed doubles with Justine Henin and Yuki Bhambri ,2019-06-02,00:29:00,https://www.hindustantimes.com/brunch/ht-brunch-cover-story-mixed-doubles-with-justine-henin-and-yuki-bhambri/story-1iZIKLESAEsy1XBsRNsUSI.html,2,0.67
India Today, World's first guitar-shaped hotel all set to open in Hollywood this year. The details will blow your mind,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/travel/story/world-s-first-guitar-shaped-hotel-all-set-to-open-in-hollywood-this-year-the-details-will-blow-your-mind-1537611-2019-05-29,3,0.11
India Today," Miss India 2019 organisers, your finalists are women. Not fair-skinned clones",2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/what-s-hot/story/miss-india-2019-organisers-your-finalists-are-women-not-fair-skinned-clones-1539595-2019-05-31,3,0.11
Hindiustan Times,Into the quaint world of rare book dealers,2019-06-02,12:49:00,https://www.hindustantimes.com/more-lifestyle/into-the-quaint-world-of-rare-book-dealers/story-5QPe3s96jG04nlOXMGX88J.html,3,0.11
Indian Express,"Don’t call it Darjeeling, it’s Nepali tea",2019-06-01,17:48:36:00,https://indianexpress.com/article/lifestyle/food-wine/darjeeling-nepali-tea-5760267/,3,0.12
Hindiustan Times,Travel: Mermaids in the Maldives,2019-06-02,00:19:00,https://www.hindustantimes.com/brunch/travel-mermaids-in-the-maldives/story-BqkTDCxnf2cvpvEFmEPkjN.html,4,1.0
India Today, Katrina Kaif is a floral wonder in pretty mini wrap dress for Bharat promotions. See pics,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/katrina-kaif-is-a-floral-wonder-in-pretty-mini-wrap-dress-for-bharat-promotions-see-pics-1539555-2019-05-31,5,0.37
Hindiustan Times,“The best thing about marriage? It’s like having a long sleepover with a friend!” Actor Tisca Chopra in a candid chat,2019-06-01,23:50:00,https://www.hindustantimes.com/brunch/the-best-thing-about-marriage-it-s-like-having-a-long-sleepover-with-a-friend-actor-tisca-chopra-in-a-candid-chat/story-bBPMKiVKHPyjy83EyOjpEO.html,5,0.34
India Today, Manish Malhotra visits his most favourite couple Rishi Kapoor and Neetu Kapoor in NYC. See pic,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/manish-malhotra-visits-his-most-favourite-couple-rishi-kapoor-and-neetu-kapoor-in-nyc-see-pic-1540170-2019-06-01,6,0.67
India Today, Janhvi Kapoor flaunts washboard abs in crop top and mini shorts after gym. See pics,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/janhvi-kapoor-flaunts-washboard-abs-in-crop-top-and-mini-shorts-after-gym-see-pics-1540062-2019-06-01,6,0.33
Hindiustan Times,5 healthy habits for a stress-free body,2019-06-02,00:02:00,https://www.hindustantimes.com/brunch/5-healthy-habits-for-a-stress-free-body/story-HbtGGti5A0r7bvQ3AHlOhL.html,7,0.5
Indian Express,"Theatre director Mohit Takalkar on his debut Marathi film Medium Spicy, and the possibility of Indian commercial cinema telling personal stories",2019-06-02,10:55:03:00,https://indianexpress.com/article/lifestyle/art-and-culture/spicing-it-up-mohit-takalkar-medium-spicy-pune-5760546/,8,1.0
Hindiustan Times,5 workouts for a free head,2019-06-01,19:23:00,https://www.hindustantimes.com/brunch/5-workouts-for-a-free-head/story-Zqq9z5HGG6VKlNzvqE62gJ.html,9,0.5
Hindiustan Times,"HT Brunch Fashion Edit: One blouse, two ways to wear it",2019-06-01,23:19:00,https://www.hindustantimes.com/brunch/ht-brunch-fashion-edit-one-blouse-two-ways-to-wear-it/story-FkwJoNltDoFqq7zhCncDyI.html,10,0.67
Hindiustan Times,"Music, fashion, comedy: This week’s Brunch WTF",2019-06-02,00:20:00,https://www.hindustantimes.com/brunch/music-fashion-comedy-this-week-s-brunch-wtf/story-P5mUiLh2TTmG2TJhyPpyHO.html,10,0.33
India Today," GoAir kicks off flash sale with domestic flight tickets from Rs 1,375. Details here",2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/travel/story/goair-kicks-off-flash-sale-with-domestic-flight-tickets-from-rs-1-375-details-here-1534475-2019-05-25,11,0.25
India Today, Sonam Kapoor looks drop dead gorgeous in Rs 1.8 lakh jacket and skirt at airport. See pics,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/sonam-kapoor-looks-drop-dead-gorgeous-in-rs-1-8-lakh-jacket-and-skirt-at-airport-see-pics-1539973-2019-06-01,11,0.27
Indian Express,Looking for togetherness on your family trip? Try staying in a hostel,2019-06-01,19:01:29:00,https://indianexpress.com/article/lifestyle/destination-of-the-week/looking-togetherness-your-family-trip-try-staying-hostel-5760332/,12,0.26
India Today, Sleep in a bubble or inside a snake. 10 strangest Airbnb homes you should stay at,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/photo/sleep-in-a-bubble-or-inside-a-snake-10-strangest-airbnb-homes-you-should-stay-at-1539695-2019-05-31,12,0.27
Hindiustan Times,Taste of home: Breaking bread with expats ,2019-06-02,13:39:00,https://www.hindustantimes.com/more-lifestyle/taste-of-home-breaking-bread-with-expats/story-uxjl3CHwq9chY27PsXlPwM.html,12,0.26
Indian Express,"A journey to Bosnia and Herzegovina, where ‘Sleeping Beauty’ awakens",2019-06-02,10:00:50:00,https://indianexpress.com/article/lifestyle/destination-of-the-week/journey-bosnia-herzegovina-where-sleeping-beauty-awakens-5760386/,12,0.26
India Today, Neena Gupta is a breath of fresh air in monochrome ethnic ensemble. We can all take some lessons,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/fashion/story/neena-gupta-is-a-breath-of-fresh-air-in-monochrome-ethnic-ensemble-we-can-all-take-some-lessons-1539311-2019-05-31,13,0.33
India Today, Neena Gupta leaves London gasping for air in plunging neckline top and denims with long boots ,2019-06-02,15:12,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/neena-gupta-leaves-london-gasping-for-air-in-plunging-neckline-top-and-denims-with-long-boots-1540308-2019-06-01,13,0.67
